question,sparql
Who was Galileo Galilei's employer in 1592?,"SELECT ?obj WHERE { wd:Q307 p:P108 ?s . ?s ps:P108 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1592')) }"
When did Helen Caldicott receive the award for Victorian Honour Roll of Women?,SELECT ?value WHERE { wd:Q431092 p:P166 ?s . ?s ps:P166 wd:Q7927224 . ?s pq:P585 ?value}
Tell me vocal group whose name has the word willows in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q120544 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'willows')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
When did Iraq become a member of the International Development Association?,SELECT ?value WHERE { wd:Q796 p:P463 ?s . ?s ps:P463 wd:Q827525 . ?s pq:P580 ?value}
When Brad Pitt was awarded Volpi Cup for Best Actor?,SELECT ?value WHERE { wd:Q35332 p:P166 ?s . ?s ps:P166 wd:Q2089923 . ?s pq:P585 ?value}
What is the name in the original language of the daughter of Tyr?,SELECT ?answer WHERE { wd:Q172713 wdt:P22 ?X . ?X wdt:P1705 ?answer}
What is the architecture firm that is based in Saint Longinus?,SELECT ?answer WHERE { wd:Q7401650 wdt:P276 ?X . ?X wdt:P84 ?answer}
What is preceded by the birth of Gideon Adams?,SELECT ?answer WHERE { wd:Q5559554 wdt:P19 ?X . ?X wdt:P1365 ?answer}
Tell me the comics character which start with letter v.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1114461 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'v')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What equipment is operated by the administrator of the B-52 Stratofortress?,SELECT ?answer WHERE { wd:Q174534 wdt:P137 ?X . ?X wdt:P121 ?answer}
What is the next season of the Disney Infinity 2.0: Marvel Super Heroes series?,SELECT ?answer WHERE { wd:Q16971686 wdt:P155 ?X . ?X wdt:P400 ?answer}
WHICH ONE IS THE SPIRAL GALAXY WITH THE MOST RADIAL VELOCITY,select ?ent where { ?ent wdt:P31 wd:Q2488 . ?ent wdt:P2216 ?obj } ORDER BY DESC(?obj)LIMIT 5
Which rare disease killed Lou Gehrig?,select distinct ?obj where { wd:Q357444 wdt:P509 ?obj . ?obj wdt:P31 wd:Q42303753 }
How many people worshipped Yahweh?,SELECT (COUNT(?obj) AS ?value ) { wd:Q766677 wdt:P1049 ?obj }
Tell me  system whose name has the word vendian  in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q403523 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'vendian')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Which religious affiliation of Qara Khitai is under the domain of Buddhist studies?,SELECT ?answer WHERE { wd:Q862304 wdt:P140 ?answer . ?answer wdt:P2579 wd:Q1000976}
What is the asteroid with the highest periapsis whose site of astronomical discovery is Landessternwarte Heidelberg-Königstuhl ?,select ?ent where { ?ent wdt:P31 wd:Q3863 . ?ent wdt:P2244 ?obj . ?ent wdt:P65 wd:Q27115 } ORDER BY DESC(?obj)LIMIT 5
When did Kurmanbek Bakiyev end as head of state for Kyrgyzstan?,SELECT ?value WHERE { wd:Q813 p:P35 ?s . ?s ps:P35 wd:Q484816 . ?s pq:P582 ?value}
